Year,Yield (Tonnes/Hectare)
1997,0.62676203
1998,0.95476973
1999,0.9939378
2000,1.0321805
2001,1.1234219
2002,1.199656
2003,1.1618011
2004,1.0667678
2005,1.1449146
2006,0.9473817
2007,1.0534301
2008,1.2087084
2009,1.1789947
2010,1.6320666
2011,1.5603287
2012,1.7774571
2013,2.1571653
2014,2.1937785
2015,1.8037751
2016,2.0951972
2017,2.0228763
2018,1.7032931
2019,1.517059
