Year,Yield (Tonnes/Hectare)
1997,1.0260234
1998,1.6948731
1999,1.7448994
2000,1.7944149
2001,1.6994815
2002,1.5694284
2003,1.6850983
2004,1.6515496
2005,1.5968095
2006,1.1527371
2007,1.3410677
2008,1.5776263
2009,1.9390901
2010,1.9596074
2011,1.8119036
2012,2.194604
2013,2.0053449
2014,1.9212562
2015,2.121733
2016,2.1181943
2017,2.2156267
2018,2.4730854
2019,2.4559538
