Year,Yield (Tonnes/Hectare)
1998,3.4430015
1999,3.4223573
2000,3.5157478
2001,3.6072772
2002,2.9925213
2003,3.1183996
2004,3.212357
2005,3.0393386
2006,3.426597
2007,3.3034325
2008,3.076486
2009,3.1513534
2010,3.4150364
2011,3.6317747
2012,3.4304574
2013,4.6737504
2014,4.8553457
2015,4.2419105
2016,3.7065508
2017,4.2979674
2018,4.4894004
2019,4.175825
