Year,Yield (Tonnes/Hectare)
1997,0.7048066
1998,1.0965912
1999,1.1259701
2000,1.2351307
2001,1.424268
2002,1.2053807
2003,1.3750767
2004,1.0777577
2005,1.4480749
2006,1.3491001
2007,1.6469866
2008,1.8160396
2009,1.6366626
2010,2.20777
2011,2.2763226
2012,2.3503895
2013,2.3147986
2014,2.5059285
2015,2.3995912
2016,2.2624056
2017,2.2611487
2018,2.627165
2019,2.706666
