Year,Yield (Tonnes/Hectare)
1997,0.9467912
1998,1.5344344
1999,1.93315
2000,1.9865384
2001,1.6960413
2002,1.5599637
2003,1.4838586
2004,1.4302329
2005,1.5247864
2006,1.2497809
2007,1.3649422
2008,1.8293929
2009,1.9548441
2010,2.1230764
2011,2.2889318
2012,2.402505
2013,2.7575765
2014,2.3823535
2015,2.3677583
2016,2.3687007
2017,2.43795
2018,2.3497841
2019,2.2712085
